Comunidades y ciudades autónomas;Ramas de actividad;Magnitud;Periodo;Total
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2024(A);95,2
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2023(P);82,6
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2022;84,7
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2021;108,1
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2020;100
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2019;104,5
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2018;107,8
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2017;102,2
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2016;99,1
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2015;97,5
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2014;89,9
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2013;89,9
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2012;80,9
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2011;93
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2010;83,6
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2009;83,5
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2008;84,4
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2007;83,5
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2006;75,7
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2005;68,8
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2004;73,6
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2003;75,9
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2002;71,2
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2001;72,7
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Índices de volumen encadenados;2000;69,2
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2024(A);15,3
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2023(P);-2,5
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2022;-21,6
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2021;8,1
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2020;-4,3
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2019;-3,1
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2018;5,5
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2017;3,1
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2016;1,7
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2015;8,4
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2014;0,1
Andalucía;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2013;11
